Operational Profile,Engine Load (%),Potencia Maxima (kw),Engines Running,Speed (kn),Draft Bow (m),Draft Stern (m),DURAÇÃO (h),MDO (m³),MDO (m³/h),Consumo Estimado (m³/h),Consumo Estimado (g/kWh),Consumo Estimado,Unnamed: 13
Transit,0.3,696.0,2.0,9.13717544,4.54763158,3.70929825,0.0475,0.031678,0.6669052631578947,0.0369086159318181,233.029,466.0580000000001,0.1651182502625856
Eco Transit,0.19,440.8,2.0,4.01242857,4.665,4.70442857,0.0038888888888888,0.001301,0.3345428571428572,0.0251534054593181,250.7533,501.5066000000001,18.33390119855356
Eco Transit,0.24,556.8,2.0,6.67837717,4.66131006,4.36915118,0.7202777777777778,0.34137399,0.4739476914770536,0.0307039948581818,242.3188,484.6376,0.9100576032222554
Eco Transit,0.35,812.0,2.0,8.86467647,2.45138235,4.57494118,0.0472222222222222,0.036718,0.7775576470588236,0.0417576012556818,225.9805,451.961,0.1372515184836269
Transit,0.35,812.0,2.0,10.95743796,4.57743796,3.99294891,0.0380555555555555,0.030372,0.7980963503649634,0.0417576012556818,225.9805,451.961,0.3748716335994276
Eco Transit,0.29,672.8,2.0,10.2025,2.446814,4.236602,0.0022222222222222,0.001606,0.7227,0.0359057382911363,234.5143,469.0286,21.35724675662289
Transit,0.31,719.2,2.0,9.062043,2.585454,4.228848,0.1283333333333333,0.084545,0.6587922077922078,0.0378999345356818,231.5689,463.1378,0.5517187943026574
Transit,0.32,742.4,2.0,10.97564286,2.619,3.87521429,0.0233333333333333,0.016172,0.6930857142857142,0.0388800932363636,230.134,460.268,1.4041610954961443
Eco Transit,0.21,487.2,2.0,5.62145679,4.57390922,3.94756717,0.765,0.287577,0.3759176470588236,0.0274186958038636,247.3039,494.6078,0.9046561588587974
Transit,0.33,765.6,2.0,10.9540814,4.414,4.835,0.0238888888888888,0.017024,0.7126325581395349,0.0398494911675,228.72430000000003,457.44860000000006,1.3407830807976973
Fast Transit,0.37,858.4,2.0,11.21516134,4.60090754,4.4777832,3.6861111111111113,3.094532,0.8395113187641295,0.0436274578693181,223.3375,446.675,0.9859017590158
Transit,0.33,765.6,2.0,10.42731694,4.60554621,3.86468546,6.375277777777777,4.68200601,0.7344003152803801,0.0398494911675,228.72430000000003,457.44860000000006,0.9914887996550222
Eco Transit,0.29,672.8,2.0,7.10409259,4.63154321,3.80180247,0.045,0.027195,0.6043333333333334,0.0359057382911363,234.5143,469.0286,0.3203066111835397
Eco Transit,0.24,556.8,2.0,7.3676767,4.57027165,3.63725088,0.3980555555555556,0.177142,0.4450182833217026,0.0307039948581818,242.3188,484.6376,0.826670158075545
Transit,0.3,696.0,2.0,10.28706784,4.52157395,4.30752782,0.2047222222222222,0.12426601,0.6069981492537313,0.0369086159318181,233.029,466.0580000000001,0.702987036182958
Transit,0.34,788.8000000000001,2.0,9.133,2.534,4.225,0.0036111111111111,0.002612,0.723323076923077,0.0408085274627272,227.33980000000005,454.6796000000001,14.623479120492831
Transit,0.33,765.6,2.0,9.03612676,4.70942254,3.473,0.0394444444444444,0.029732,0.7537690140845071,0.0398494911675,228.72430000000003,457.44860000000006,0.3402896262444503
Eco Transit,0.36,835.1999999999999,2.0,8.47793204,2.56626699,3.83931068,0.1144444444444444,0.09119101,0.7968146504854369,0.04269711168,224.64640000000003,449.29280000000006,0.5317837615791293
Fast Transit,0.33,765.6,2.0,11.02381132,4.42410943,4.80898868,0.1472222222222222,0.10528701,0.7151570490566037,0.0398494911675,228.72430000000003,457.44860000000006,0.6215155965821425
Eco Transit,0.32,742.4,2.0,8.86549405,2.47643452,4.71619048,0.0466666666666666,0.031999,0.6856928571428571,0.0388800932363636,230.134,460.268,0.2150408836639783
Eco Transit,0.33,765.6,2.0,8.837134,2.565924,4.47344,0.0788888888888888,0.055736,0.706512676056338,0.0398494911675,228.72430000000003,457.44860000000006,0.2850313770722693
Eco Transit,0.32,742.4,2.0,8.8845274,4.226,4.2324589,0.0405555555555555,0.028126,0.6935178082191782,0.0388800932363636,230.134,460.268,0.3823541647004067
