Operational Profile,Engine Load (%),Potencia Maxima (kw),Engines Running,Speed (kn),Draft Bow (m),Draft Stern (m),DURAÇÃO (h),MDO (m³),MDO (m³/h),Consumo Estimado (m³/h),Consumo Estimado (g/kWh),Consumo Estimado,Unnamed: 13
Transit,0.32,742.4,2.0,9.073053,2.568291,4.489039,0.0105555555555555,0.007325,0.6939473684210526,0.0388800932363636,230.134,460.268,4.307862557865344
Transit,0.35,812.0,2.0,9.14419178,4.60275342,4.50026027,0.0202777777777777,0.01540199,0.7595501917808221,0.0417576012556818,225.9805,451.961,1.7111822079927212
Eco Transit,0.28,649.6,2.0,7.41338636,4.73706439,3.47830682,0.0733333333333333,0.04357201,0.5941637727272727,0.03489090248,236.02480000000003,472.04960000000005,0.1992358745901324
Eco Transit,0.23,533.6,2.0,4.30415663,2.533,3.67740964,0.0230555555555555,0.009953,0.4316963855421687,0.0296233811902272,243.9553,487.9106,1.976326855242367
Transit,0.35,812.0,2.0,9.146,2.558,3.819,0.0075,0.005814,0.7752,0.0417576012556818,225.9805,451.961,6.182249957977609
Transit,0.37,858.4,2.0,10.99280952,4.58952381,4.50140476,0.0349999999999999,0.02942,0.8405714285714287,0.0436274578693181,223.3375,446.675,0.4829183504187008
Transit,0.29,672.8,2.0,9.223,4.466,3.815,0.0141666666666666,0.008253,0.582564705882353,0.0359057382911363,234.5143,469.0286,3.350628655172224
Eco Transit,0.33,765.6,2.0,8.85529207,2.53209989,4.27181868,0.2558333333333333,0.18328599,0.71642732247557,0.0398494911675,228.72430000000003,457.44860000000006,0.7825829941093697
Eco Transit,0.32,742.4,2.0,8.92236364,2.48990909,4.85881818,0.0183333333333333,0.012634,0.6891272727272727,0.0388800932363636,230.134,460.268,2.077417542849742
Eco Transit,0.28,649.6,2.0,8.86093103,4.45,3.855,0.0161111111111111,0.00922801,0.5727730344827586,0.03489090248,236.02480000000003,472.04960000000005,2.7809779659970038
Eco Transit,0.28,649.6,2.0,8.86027143,4.458,3.83504286,0.0388888888888888,0.022502,0.5786228571428572,0.03489090248,236.02480000000003,472.04960000000005,0.5505689485379079
Transit,0.37,858.4,2.0,10.96994276,4.58674727,4.4949007,0.7133333333333333,0.59913301,0.8399060887850468,0.0436274578693181,223.3375,446.675,0.9271823499270752
Eco Transit,0.19,440.8,2.0,4.03991803,4.672,4.71647541,0.0169444444444444,0.005622,0.3317901639344263,0.0251534054593181,250.7533,501.5066000000001,3.4741027142152583
Transit,0.29,672.8,2.0,9.14874641,4.49897129,3.83652871,0.1161111111111111,0.06816999,0.5871099617224881,0.0359057382911363,234.5143,469.0286,0.4732911316088448
Transit,0.35,812.0,2.0,9.73108627,2.59679685,3.63642061,6.678055555555556,5.039734,0.7546708705960651,0.0417576012556818,225.9805,451.961,0.9917143243560708
